ExRT,Name
A001,Spot Rate (mid)
A002,Spot Rate (ask)
A003,Spot Rate (bid)
A004,Weightet Spot Rate
A005,Monthly Last Rate
A006,Monthly Average Rate
A007,Quarterly Average Rate
A008,Yearly Average Rate
A009,Quarterly Average exc. rate
,
